DATAFLOW,LAST UPDATE,freq,unit,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1990,155.76,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1991,156.25,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1992,148.91,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1993,142.44,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1994,136.18,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1995,128.70,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1996,122.62,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1997,120.97,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1998,117.24,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,1999,115.60,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2000,112.88,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2001,110.23,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2002,108.01,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2003,105.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2004,103.31,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2006,95.19,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2007,92.79,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2008,90.47,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2009,89.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2010,87.29,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2011,86.27,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2012,85.89,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2013,84.75,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2014,83.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2015,82.22,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2016,81.60,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2017,80.96,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,AT,2018,79.94,
