DATAFLOW,LAST UPDATE,freq,itm_newa,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1990,81.95,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1991,81.44,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1992,76.18,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1993,72.65,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1994,83.92,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1995,91.87,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1996,88.49,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1997,78.84,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1998,78.85,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,1999,79.45,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2000,86.91,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2001,103.44,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2002,96.03,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2003,95.49,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2004,100.81,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2006,112.02,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2007,125.77,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2008,122.90,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2009,95.48,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2010,113.31,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2011,129.27,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2012,121.71,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2013,107.75,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,AT,2014,101.27,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1980,99.95,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1981,109.64,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1982,117.53,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1983,122.55,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1984,119.79,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1985,115.58,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1986,114.52,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1987,107.86,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1988,115.54,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1989,141.37,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1990,128.84,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1991,127.98,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1992,125.68,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1993,120.28,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1994,121.77,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1995,101.88,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1996,113.77,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1997,118.91,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1998,113.43,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,1999,105.73,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2000,118.94,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2001,108.18,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2002,95.83,
