DATAFLOW,LAST UPDATE,freq,unit,enterpr,nace_r2,reason,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,BE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,BE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,BG,2007,100.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,BG,2010,14.8,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,CY,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,CY,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,DE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,DE,2010,22.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,DK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,DK,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,EL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,EL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,ES,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,ES,2010,23.1,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,FI,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,FI,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,FR,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,FR,2010,15.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,IE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,IE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,IT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,IT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,LT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,LT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,LU,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,LU,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,LV,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,LV,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,MT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,MT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,NL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,NL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,PL,2007,50.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,PL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,SE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,SE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,SK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,SK,2010,16.7,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,UK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,CON,UK,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,BE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,BE,2010,30.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,BG,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,BG,2010,14.8,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,CY,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,CY,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,DE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,DE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,DK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,DK,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,EL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,EL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,ES,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,ES,2010,32.7,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,FI,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,FI,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,FR,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,FR,2010,15.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,IE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,IE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,IT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,IT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,LT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,LT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,LU,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,LU,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,LV,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,LV,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,MT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,MT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,NL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,NL,2010,0.0,
