Chemical.meshID	Chemical.chebiID
MESH_D002827	CHEBI_17333
MESH_C546919	CHEBI_134741
MESH_C000627230	CHEBI_32153
MESH_C512023	CHEBI_88428
MESH_C060146	CHEBI_135218
MESH_C000609913	CHEBI_139154
MESH_C002871	CHEBI_6072
MESH_C010194	CHEBI_149645
MESH_C056776	CHEBI_42121
MESH_D011609	CHEBI_16874
MESH_C006633	CHEBI_47217
MESH_C059427	CHEBI_31232
MESH_C062145	CHEBI_66879
MESH_C029684	CHEBI_33202
MESH_C006593	CHEBI_34260
MESH_C495290	CHEBI_3383
MESH_D016293	CHEBI_6997
MESH_C007033	CHEBI_81981
MESH_C011658	CHEBI_131190
MESH_D008935	CHEBI_43996
MESH_C038844	CHEBI_39932
MESH_C529708	CHEBI_85681
MESH_C079988	CHEBI_9401
MESH_C007164	CHEBI_78673
MESH_C001801	CHEBI_6956
MESH_C097013	CHEBI_76106
MESH_C117619	CHEBI_34052
MESH_D004008	CHEBI_47381
MESH_D008785	CHEBI_6896
MESH_C030686	CHEBI_27856
MESH_C051854	CHEBI_28858
MESH_C486182	CHEBI_63949
MESH_C035052	CHEBI_16481
MESH_C021341	CHEBI_131731
MESH_C038547	CHEBI_1427
MESH_C077708	CHEBI_6435
MESH_C102815	CHEBI_139496
MESH_D008795	CHEBI_6909
MESH_D058918	CHEBI_70725
MESH_C011138	CHEBI_31845
MESH_C500252	CHEBI_41117
MESH_D003683	CHEBI_27956
MESH_C038008	CHEBI_3920
MESH_C020354	CHEBI_5032
MESH_C019078	CHEBI_8836
MESH_C446043	CHEBI_47724
MESH_D014749	CHEBI_9985
MESH_D009621	CHEBI_44504
MESH_D017576	CHEBI_600103
MESH_C000617038	CHEBI_33349
MESH_D004996	CHEBI_42478
MESH_C000705701	CHEBI_34029
MESH_C447700	CHEBI_39196
MESH_C034767	CHEBI_4402
MESH_C044610	CHEBI_31583
MESH_C027391	CHEBI_27822
MESH_C032623	CHEBI_58687
MESH_C043922	CHEBI_47218
MESH_C508736	CHEBI_85979
MESH_C014596	CHEBI_89234
MESH_C000615140	CHEBI_37369
MESH_C027333	CHEBI_73025
MESH_C035865	CHEBI_133083
MESH_D000069461	CHEBI_135515
MESH_D020723	CHEBI_24298
MESH_C009293	CHEBI_16517
MESH_D017442	CHEBI_35678
MESH_D001414	CHEBI_28669
MESH_D002209	CHEBI_28579
MESH_C515179	CHEBI_67818
MESH_D047090	CHEBI_35627
MESH_C090859	CHEBI_8983
MESH_D008721	CHEBI_77501
MESH_C059921	CHEBI_134747
MESH_D013024	CHEBI_166975
MESH_D015069	CHEBI_16485
MESH_D008752	CHEBI_15767
MESH_C015930	CHEBI_58030
MESH_C084606	CHEBI_4888
MESH_D013096	CHEBI_45725
MESH_D000518	CHEBI_41948
MESH_C034789	CHEBI_27708
MESH_C026527	CHEBI_88346
MESH_C521859	CHEBI_53576
MESH_D005578	CHEBI_62419
MESH_D005630	CHEBI_28796
MESH_C443359	CHEBI_50346
MESH_C005900	CHEBI_9670
MESH_D012981	CHEBI_75273
MESH_C006379	CHEBI_21557
MESH_C046238	CHEBI_135169
MESH_C050614	CHEBI_75305
MESH_C005327	CHEBI_82353
MESH_C013896	CHEBI_81200
MESH_C538871	CHEBI_16008
MESH_C506365	CHEBI_29005
