Phenotype.umls	Phenotype.hpoID
0070212	HP_0001004
0070309	HP_0011147
0070309	HP_0002121
0080390	HP_0000100
0080390	HP_0008677
0080390	HP_0012579
0111369	HP_0012184
0111388	HP_0008211
0111452	HP_0002123
10652	HP_0002511
8552	HP_0005506
0000378	HP_0001677
0000378	HP_0002621
0000378	HP_0002635
0000378	HP_0031290
0000519	HP_0002888
0000519	HP_0012174
0000519	HP_0030692
0000519	HP_0009592
0000632	HP_0002888
0000632	HP_0012174
0000632	HP_0030692
0000632	HP_0009592
0000760	HP_0100008
0000760	HP_0100007
0000760	HP_0100697
0000760	HP_0009588
0001070	HP_0100507
0001072	HP_0002354
0002068	HP_0001097
0002200	HP_0000872
0002200	HP_0000822
0002431	HP_0100008
0002431	HP_0100007
0002431	HP_0100697
0002431	HP_0009588
0002503	HP_0001640
0002614	HP_0000855
0002792	HP_0000169
0002892	HP_0002890
0002892	HP_0100031
0003015	HP_0000718
0003015	HP_0006919
0003303	HP_0008619
0003762	HP_0100512
0003766	HP_0002027
0003820	HP_0010622
0003824	HP_0100012
0003828	HP_0010302
0003833	HP_0002888
0003833	HP_0012174
0003833	HP_0030692
0003833	HP_0009592
0003843	HP_0012531
0003851	HP_0100009
0003851	HP_0002858
0003865	HP_0009726
0003893	HP_0025318
0003893	HP_0100615
0003895	HP_0000421
0003896	HP_0001712
0003901	HP_0100518
0003907	HP_0002625
0003913	HP_0001681
0003917	HP_0001622
0003963	HP_0025272
0004285	HP_0000093
0004285	HP_0012592
0004320	HP_0031589
0004347	HP_0030858
0004566	HP_0004324
0004723	HP_0001717
0005039	HP_0410170
0005230	HP_0000739
0005262	HP_0005136
0005717	HP_0012777
0005717	HP_0009919
0006917	HP_0001788
0007365	HP_0100881
0007625	HP_0025406
0007634	HP_0000716
0008511	HP_0011330
0008514	HP_0001067
0008514	HP_0007524
0008569	HP_0100503
0008572	HP_0004395
0008574	HP_0100758
0008615	HP_0000107
0008620	HP_0000003
0008620	HP_0000113
0008626	HP_0007902
0008628	HP_0011531
0008801	HP_0002863
0009001	HP_0200151
0009001	HP_0100495
0009005	HP_0008209
0009065	HP_0008672
0009069	HP_0003235
0009085	HP_0004950
0009085	HP_0004417
0009093	HP_0012054
0009093	HP_0011524
0009093	HP_0007716
0009094	HP_0001644
0009254	HP_0009734
0009259	HP_0008069
0009276	HP_0006682
0009314	HP_0001928
0009314	HP_0003256
0009315	HP_0001976
0009315	HP_0004855
0009315	HP_0100724
0009315	HP_0002625
0009315	HP_0004936
0009315	HP_0005543
0009316	HP_0001976
0009316	HP_0004855
0009316	HP_0100724
0009316	HP_0004936
0009316	HP_0005543
0009336	HP_0000220
0009380	HP_0000317
0009380	HP_0007209
0009380	HP_0010628
0009383	HP_0000934
0009384	HP_0000934
0009386	HP_0002011
0009387	HP_0001271
0009387	HP_0009830
0009387	HP_0000759
0009431	HP_0002242
0009431	HP_0011024
0009441	HP_0005508
0009447	HP_0012418
0009448	HP_0002206
0009449	HP_0000491
0009450	HP_0000509
0009451	HP_0000829
0009452	HP_0000859
0009452	HP_0003118
0009452	HP_0011736
0009453	HP_0002301
0009454	HP_0002592
0009455	HP_0009926
0009456	HP_0001019
0009475	HP_0030159
0009478	HP_0032041
0009481	HP_0000246
0009487	HP_0012181
0009488	HP_0002143
0009488	HP_0002196
0009489	HP_0006824
0009491	HP_0000846
0009491	HP_0008207
0009492	HP_0006543
0009492	HP_0001695
0009523	HP_0002607
0009530	HP_0100519
0009531	HP_0004380
0009531	HP_0001647
0009533	HP_0002071
0009533	HP_0001266
0009533	HP_0002134
0009534	HP_0001080
0009536	HP_0000498
0009544	HP_0004791
0009545	HP_0002040
0009551	HP_0001654
0009558	HP_0009831
0009558	HP_0032018
0009560	HP_0410017
0009562	HP_0001271
0009562	HP_0009830
0009562	HP_0007178
0009566	HP_0000124
0009579	HP_0011891
0009604	HP_0002321
0009605	HP_0001732
0009606	HP_0003535
0009606	HP_0000608
0009607	HP_0012503
0009607	HP_0011747
0009609	HP_0012819
0009610	HP_0008480
0009619	HP_0030430
0009626	HP_0002021
0009631	HP_0002527
0009637	HP_0002202
0009657	HP_0025439
0009659	HP_0002617
0009660	HP_0012390
0009662	HP_0550004
0009662	HP_0200043
0009663	HP_0000119
0009666	HP_0025230
0009670	HP_0000704
0009672	HP_0002321
0009674	HP_0000517
0009675	HP_0003764
0009675	HP_0000995
0009675	HP_0001062
0009678	HP_0031775
0009679	HP_0002385
0009679	HP_0001258
0009679	HP_0010550
0009680	HP_0011919
0009684	HP_0002445
0009686	HP_0002878
0009686	HP_0002093
0009688	HP_0010280
0009691	HP_0002321
0009715	HP_0030828
0009731	HP_0005681
0009784	HP_0025567
0009840	HP_0002789
0009841	HP_0012195
0009842	HP_0002791
0009842	HP_0005952
0009846	HP_0003394
0009847	HP_0002321
0009869	HP_0000217
0009869	HP_0003781
0009869	HP_0002307
0009907	HP_0100245
0009908	HP_0001076
0009909	HP_0003774
0009910	HP_0006528
0009911	HP_0006716
0009912	HP_0008944
0009913	HP_0030427
0009915	HP_0008619
0010162	HP_0003819
0010163	HP_0011645
0010164	HP_0100651
0010164	HP_0000831
0010164	HP_0000819
0010164	HP_0005978
0010165	HP_0005010
0010269	HP_0000141
0010282	HP_0002242
0010282	HP_0011024
0010283	HP_0001871
1000028	HP_0002888
1000120	HP_0012843
1000120	HP_0030434
1000142	HP_0010796
1000211	HP_0012539
1000211	HP_0012191
1000211	HP_0002665
1000211	HP_0030069
1000313	HP_0000107
1000350	HP_0010622
1000411	HP_0030431
1000449	HP_0002858
1001229	HP_0200151
1001229	HP_0100495
1001253	HP_0040186
1001255	HP_0005268
1001268	HP_0031649
1001284	HP_0030005
1001296	HP_0002253
1001305	HP_0040181
1001321	HP_0006516
1001352	HP_0012265
1001360	HP_0025126
1001361	HP_0100324
1001399	HP_0011951
1001436	HP_0025388
1001451	HP_0005387
1001451	HP_0004430
1001477	HP_0030005
1001486	HP_0002613
1001492	HP_0031609
1001497	HP_0011675
1001497	HP_0012722
1001497	HP_0001645
1001510	HP_0002463
1001512	HP_0012114
1001515	HP_0100615
1001760	HP_0012063
1001761	HP_0030429
1001761	HP_0010615
1001779	HP_0012325
1001779	HP_0012209
1001779	HP_0012324
1001780	HP_0010310
1001790	HP_0004392
1001791	HP_0100541
1001796	HP_0003001
1001796	HP_0030074
1001796	HP_0002668
1001800	HP_0008441
1001801	HP_0100309
1001826	HP_0031405
1001831	HP_0031549
1001837	HP_0100822
1001839	HP_0002835
1001850	HP_0100808
1001859	HP_0000034
1001859	HP_0100673
1001864	HP_0000139
1001866	HP_0002933
1001882	HP_0012309
1001938	HP_0012539
1001938	HP_0012191
1001938	HP_0002665
1001938	HP_0030069
1001941	HP_0100526
1001941	HP_0006519
1001941	HP_0030078
1001941	HP_0030358
1001951	HP_0040275
1001951	HP_0100273
1001951	HP_0100834
1001951	HP_0003003
1001974	HP_0002891
