Protein.uniprotID	Protein.proID
	
Q20893	PR_Q20893
Q8K2V1	PR_Q8K2V1
Q8W4M7	PR_Q8W4M7
Q8VI21	PR_Q8VI21
Q5ZLG9	PR_Q5ZLG9
Q8VC82	PR_Q8VC82
F4JYE9	PR_F4JYE9
Q9LFW0	PR_Q9LFW0
Q14BB9	PR_Q14BB9
P70452	PR_P70452
Q16629	PR_Q16629
Q9Z2E4	PR_Q9Z2E4
P03470	PR_P03470
P60755	PR_P60755
Q9U7D5	PR_Q9U7D5
P0DN26	PR_P0DN26
Q9VZW5	PR_Q9VZW5
Q9LJI5	PR_Q9LJI5
Q9LMN7	PR_Q9LMN7
P59164	PR_P59164
Q0WUZ5	PR_Q0WUZ5
P33230	PR_P33230
Q59XV0	PR_Q59XV0
O65023	PR_O65023
Q3KP66	PR_Q3KP66
Q8TGU4	PR_Q8TGU4
Q9USM4	PR_Q9USM4
Q6DUW6	PR_Q6DUW6
Q7JZM1	PR_Q7JZM1
A2BIL8	PR_A2BIL8
Q9ERV7	PR_Q9ERV7
Q00796	PR_Q00796
P28911	PR_P28911
P82794	PR_P82794
Q66JT1	PR_Q66JT1
O17898	PR_O17898
P03452	PR_P03452
Q9GZW8	PR_Q9GZW8
P0A731	PR_P0A731
P0DJR0	PR_P0DJR0
D3ZHR2	PR_D3ZHR2
Q9IAK8	PR_Q9IAK8
P01732	PR_P01732
P19511	PR_P19511
O57267	PR_O57267
O14198	PR_O14198
P53142	PR_P53142
P09557	PR_P09557
P34766	PR_P34766
Q8BK35	PR_Q8BK35
P97927	PR_P97927
P41044	PR_P41044
P41410	PR_P41410
Q9H2G9	PR_Q9H2G9
Q9P4W1	PR_Q9P4W1
P34987	PR_P34987
Q54QE6	PR_Q54QE6
P0DPN3	PR_P0DPN3
P12879	PR_P12879
P30548	PR_P30548
Q09952	PR_Q09952
P18334	PR_P18334
Q9T096	PR_Q9T096
P53669	PR_P53669
D3ZZW6	PR_D3ZZW6
Q6G6Q3	PR_Q6G6Q3
Q9JK30	PR_Q9JK30
Q2FVW4	PR_Q2FVW4
Q9VQG2	PR_Q9VQG2
P70668	PR_P70668
Q96IZ7	PR_Q96IZ7
Q12291	PR_Q12291
P47034	PR_P47034
Q6HEU3	PR_Q6HEU3
B0S578	PR_B0S578
Q05117	PR_Q05117
O02173	PR_O02173
A8C8W9	PR_A8C8W9
P54609	PR_P54609
Q7LIF2	PR_Q7LIF2
B0G126	PR_B0G126
P79935	PR_P79935
P10030	PR_P10030
Q93Z96	PR_Q93Z96
O13339	PR_O13339
O75351	PR_O75351
O64776	PR_O64776
Q3EDD7	PR_Q3EDD7
G5EBQ8	PR_G5EBQ8
Q9CWK3	PR_Q9CWK3
Q99MD9	PR_Q99MD9
Q16617	PR_Q16617
P61647	PR_P61647
P50077	PR_P50077
P52732	PR_P52732
D2WL32	PR_D2WL32
P00959	PR_P00959
P30261	PR_P30261
Q9PVN2	PR_Q9PVN2
