Protein.proID	Catalyst.chebiID
PR_Q00266	CHEBI_15377
PR_Q00266	CHEBI_43474
PR_Q00266	CHEBI_57844
PR_Q00266	CHEBI_30616
PR_Q00266	CHEBI_33019
PR_Q00266	CHEBI_59789
PR_O94851	CHEBI_15377
PR_O94851	CHEBI_15378
PR_O94851	CHEBI_15379
PR_O94851	CHEBI_45764
PR_O94851	CHEBI_57783
PR_O94851	CHEBI_16044
PR_O94851	CHEBI_58349
PR_Q8TDZ2	CHEBI_15377
PR_Q8TDZ2	CHEBI_15378
PR_Q8TDZ2	CHEBI_15379
PR_Q8TDZ2	CHEBI_45764
PR_Q8TDZ2	CHEBI_57783
PR_Q8TDZ2	CHEBI_16044
PR_Q8TDZ2	CHEBI_58349
PR_Q86VF5	CHEBI_57379
PR_Q86VF5	CHEBI_34116
PR_Q86VF5	CHEBI_58342
PR_Q86VF5	CHEBI_57287
PR_Q86VF5	CHEBI_64615
PR_Q86VF5	CHEBI_73990
PR_Q86VF5	CHEBI_75688
PR_Q86VF5	CHEBI_57387
PR_Q86VF5	CHEBI_75466
PR_Q86VF5	CHEBI_138734
PR_Q86VF5	CHEBI_17389
PR_Q86VF5	CHEBI_52333
PR_Q86VF5	CHEBI_138735
PR_Q86VF5	CHEBI_17616
PR_Q86VF5	CHEBI_17815
PR_Q86VF5	CHEBI_17336
PR_Q86VF5	CHEBI_53753
PR_Q13724	CHEBI_15377
PR_Q13724	CHEBI_59082
PR_Q13724	CHEBI_132537
PR_Q13724	CHEBI_15903
PR_Q9ULW8	CHEBI_15377
PR_Q9ULW8	CHEBI_83397
PR_Q9ULW8	CHEBI_28938
PR_Q9ULW8	CHEBI_29965
PR_P18669	CHEBI_58272
PR_P18669	CHEBI_58289
PR_P18669	CHEBI_15378
PR_P18669	CHEBI_57604
PR_P18669	CHEBI_58248
PR_Q8WUA2	CHEBI_83833
PR_Q8WUA2	CHEBI_83834
PR_O15067	CHEBI_15377
PR_O15067	CHEBI_29985
PR_O15067	CHEBI_15378
PR_O15067	CHEBI_43474
PR_O15067	CHEBI_147286
PR_O15067	CHEBI_147287
PR_O15067	CHEBI_58359
PR_O15067	CHEBI_30616
PR_O15067	CHEBI_456216
PR_P04049	CHEBI_15378
PR_P04049	CHEBI_30616
PR_P04049	CHEBI_61977
PR_P04049	CHEBI_83421
PR_P04049	CHEBI_30013
PR_P04049	CHEBI_456216
PR_P04049	CHEBI_29999
PR_	CHEBI_15377
PR_	CHEBI_15378
PR_	CHEBI_43474
PR_	CHEBI_37565
PR_	CHEBI_58189
PR_Q9ULI2	CHEBI_29985
PR_Q9ULI2	CHEBI_15378
