Protein.proID	Cofactor.chebiID
PR_Q00266	CHEBI_18420
PR_Q00266	CHEBI_29103
PR_O94851	CHEBI_57692
PR_Q8TDZ2	CHEBI_57692
PR_P45452	CHEBI_29105
PR_P45452	CHEBI_29108
PR_A0A024RBG1	CHEBI_18420
PR_A0A024RBG1	CHEBI_29035
PR_Q9ULW8	CHEBI_29108
PR_Q8NDH3	CHEBI_29105
PR_Q8NDH3	CHEBI_29035
PR_P04049	CHEBI_29105
PR_Q9ULI2	CHEBI_18420
PR_Q9ULI2	CHEBI_29035
PR_P02743	CHEBI_29108
PR_Q9Y6E7	CHEBI_29105
PR_O15460	CHEBI_38290
PR_O15460	CHEBI_29033
PR_Q9P0Z9	CHEBI_57692
PR_P49588	CHEBI_29105
PR_P21980	CHEBI_29108
PR_O94811	CHEBI_18420
PR_Q96MI6	CHEBI_18420
PR_Q96MI6	CHEBI_29035
PR_Q92878	CHEBI_29105
PR_Q9Y644	CHEBI_29035
PR_Q9HD40	CHEBI_597326
PR_P0C7P3	CHEBI_18420
PR_P0C7P3	CHEBI_29035
PR_O95470	CHEBI_597326
PR_Q96Q15	CHEBI_29035
PR_Q96FJ0	CHEBI_29105
PR_P46977	CHEBI_18420
PR_P46977	CHEBI_29035
PR_Q9GZT4	CHEBI_597326
PR_Q8IYQ7	CHEBI_597326
PR_Q8WY54	CHEBI_18420
PR_Q8WY54	CHEBI_29035
PR_Q15493	CHEBI_29105
PR_Q15493	CHEBI_29108
PR_Q15493	CHEBI_18420
PR_Q15493	CHEBI_29035
PR_O60930	CHEBI_18420
PR_Q9Y2K2	CHEBI_18420
PR_Q8WXG1	CHEBI_49883
PR_Q9Y3I0	CHEBI_29035
PR_Q9H6E5	CHEBI_18420
PR_Q9H6E5	CHEBI_29035
PR_Q3LXA3	CHEBI_18420
PR_Q3LXA3	CHEBI_29035
PR_Q3LXA3	CHEBI_48828
PR_Q7Z4N8	CHEBI_38290
PR_Q7Z4N8	CHEBI_29033
PR_Q9UQ90	CHEBI_29105
PR_Q6XYQ8	CHEBI_29108
PR_Q9NPF4	CHEBI_60240
PR_P16499	CHEBI_60240
PR_Q9BWT3	CHEBI_18420
PR_Q9BWT3	CHEBI_29035
PR_Q6TGC4	CHEBI_29108
PR_Q8N3E9	CHEBI_29108
PR_Q8WU08	CHEBI_18420
PR_O95455	CHEBI_57540
PR_P29401	CHEBI_18420
PR_P29401	CHEBI_29108
PR_P29401	CHEBI_58937
PR_P29401	CHEBI_29035
PR_P29401	CHEBI_48828
PR_O75844	CHEBI_29105
PR_Q86YB8	CHEBI_57692
PR_P13804	CHEBI_57692
PR_Q9BRQ8	CHEBI_60470
PR_Q86SF2	CHEBI_29035
PR_Q10472	CHEBI_29035
PR_P23378	CHEBI_597326
PR_P08397	CHEBI_60342
PR_P49441	CHEBI_18420
PR_P12268	CHEBI_29103
PR_Q6B0I6	CHEBI_29033
PR_P05771	CHEBI_29108
PR_Q9NTJ4	CHEBI_48828
PR_P62714	CHEBI_29035
PR_Q93075	CHEBI_60240
PR_O00391	CHEBI_57692
PR_P27708	CHEBI_29105
PR_P27708	CHEBI_18420
PR_P27708	CHEBI_29035
PR_Q96L33	CHEBI_18420
PR_Q86SK9	CHEBI_29033
PR_Q9BV57	CHEBI_24875
PR_Q9UBE8	CHEBI_18420
PR_Q9HAN9	CHEBI_29105
PR_Q9HAN9	CHEBI_18420
PR_Q9Y3B8	CHEBI_29035
PR_P19174	CHEBI_29108
PR_P51687	CHEBI_71302
PR_P51687	CHEBI_60344
PR_Q9NWX6	CHEBI_18420
PR_A6NDG6	CHEBI_18420
PR_P27169	CHEBI_29108
PR_P61586	CHEBI_18420
PR_Q5VWQ0	CHEBI_29033
PR_Q68D06	CHEBI_18420
PR_Q9NYA1	CHEBI_18420
PR_P21675	CHEBI_18420
PR_Q8IV42	CHEBI_18420
PR_Q9H0K1	CHEBI_18420
PR_P57059	CHEBI_18420
PR_P00441	CHEBI_29105
PR_P00441	CHEBI_23378
PR_Q9NWM0	CHEBI_57692
PR_Q9Y6E0	CHEBI_29105
PR_Q9Y6E0	CHEBI_18420
PR_Q9Y6E0	CHEBI_29035
PR_Q9Y6E0	CHEBI_48828
PR_Q9H040	CHEBI_29105
PR_Q15569	CHEBI_18420
PR_Q15569	CHEBI_29035
PR_Q9UKI8	CHEBI_18420
PR_Q9BXA6	CHEBI_18420
PR_Q9H477	CHEBI_18420
PR_A1KZ92	CHEBI_29108
PR_A1KZ92	CHEBI_60344
PR_Q9NY57	CHEBI_18420
PR_Q9Y2H1	CHEBI_18420
