Protein.ensemblID	Protein.proID

ENSP00000342886	PR_P06899
ENSP00000215730	PR_O95721
ENSP00000332498	PR_Q9BXU9
ENSP00000308292	PR_A6NMN3
ENSP00000276123	PR_Q9Y462
ENSP00000478399	PR_Q14093
ENSP00000484951	PR_Q6PRD1
ENSP00000217289	PR_Q9BQL6
ENSP00000408949	PR_Q15366
ENSP00000222481	PR_P48052
ENSP00000394496	PR_Q9ULV4
ENSP00000367638	PR_Q8N4T4
ENSP00000500004	PR_Q5JQC4
ENSP00000268720	PR_Q9UBL6
ENSP00000221801	PR_P22087
ENSP00000449716	PR_Q99788
ENSP00000421863	PR_Q17R98
ENSP00000217893	PR_Q16594
ENSP00000394579	PR_P80217
ENSP00000365981	PR_Q9P1U0
ENSP00000458444	PR_Q9BYU5
ENSP00000357477	PR_Q5SZL2
ENSP00000490543	PR_P0DP71
ENSP00000498763	PR_O60565
ENSP00000465709	PR_Q9HCE3
ENSP00000235382	PR_P41220
ENSP00000253270	PR_Q76EJ3
ENSP00000211936	PR_Q99676
ENSP00000284154	PR_Q13588
ENSP00000225728	PR_Q9Y3C7
ENSP00000254901	PR_Q9BRK0
ENSP00000476396	PR_Q5T7P8
ENSP00000356552	PR_Q95460
ENSP00000493055	PR_O76100
ENSP00000381180	PR_O60704
ENSP00000472171	PR_Q9BW61
ENSP00000477878	PR_Q8IVW6
ENSP00000447597	PR_F8W0I5
ENSP00000402596	PR_P79522
ENSP00000413530	PR_Q8N8Q1
ENSP00000226279	PR_P28907
ENSP00000493411	PR_Q8NGR8
ENSP00000371000	PR_Q9Y252
ENSP00000495263	PR_A0A2R8YFM6
ENSP00000476398	PR_Q8NI51
ENSP00000354481	PR_Q9C0B6
ENSP00000362588	PR_P40426
ENSP00000305687	PR_P0CG12
ENSP00000372726	PR_Q03519
ENSP00000348307	PR_P78324
ENSP00000488570	PR_Q9NP50
ENSP00000296464	PR_O95757
ENSP00000422411	PR_Q8NDB6
ENSP00000251108	PR_Q9BWV3
ENSP00000322909	PR_Q14192
ENSP00000342493	PR_Q96TC7
ENSP00000061240	PR_O43897
ENSP00000241453	PR_P36888
ENSP00000322649	PR_Q8N5S1
ENSP00000256785	PR_Q9BXR6
ENSP00000393887	PR_P02765
ENSP00000289820	PR_Q86SE8
ENSP00000497727	PR_Q15120
ENSP00000364089	PR_Q5JUK9
ENSP00000426964	PR_A6XGL0
ENSP00000332504	PR_P46092
ENSP00000247655	PR_P15954
ENSP00000498430	PR_A8MTZ0
ENSP00000378187	PR_P51828
ENSP00000360065	PR_Q5VTH9
ENSP00000456838	PR_Q68EN5
ENSP00000383151	PR_Q13838
ENSP00000499185	PR_O14682
ENSP00000480288	PR_Q9UMZ2
ENSP00000219473	PR_Q14694
ENSP00000359423	PR_Q13496
ENSP00000493253	PR_Q8NGX8
ENSP00000311300	PR_P56202
ENSP00000214869	PR_Q13445
ENSP00000364398	PR_Q5JVS0
ENSP00000448536	PR_Q8TAD7
ENSP00000266254	PR_O95922
ENSP00000356405	PR_Q6P1J9
ENSP00000459551	PR_A6NM11
ENSP00000320940	PR_Q15788
ENSP00000320649	PR_Q8N998
ENSP00000402301	PR_Q86VI4
ENSP00000343741	PR_Q13535
ENSP00000354728	PR_P03901
ENSP00000412513	PR_O15054
ENSP00000384670	PR_Q9ULL0
ENSP00000431164	PR_Q86UT5
ENSP00000476603	PR_Q6ZVF9
ENSP00000324628	PR_Q99747
ENSP00000273317	PR_Q9UGP4
ENSP00000481854	PR_Q8NE31
ENSP00000322775	PR_Q6PJF5
ENSP00000492557	PR_A0A1W2PS18
ENSP00000416429	PR_P62910
ENSP00000366711	PR_Q99497
ENSP00000361009	PR_Q8TCU6
ENSP00000375919	PR_Q9UPU9
ENSP00000306410	PR_Q5T2S8
ENSP00000496915	PR_Q9NPC2
ENSP00000336752	PR_Q6UN15
ENSP00000468417	PR_O95057
ENSP00000489239	PR_B2CW77
ENSP00000337500	PR_Q86SE9
ENSP00000413080	PR_Q03518
ENSP00000497224	PR_Q8N448
ENSP00000451359	PR_A0A0A6YYK6
ENSP00000356093	PR_Q6ZWK4
ENSP00000360141	PR_Q5JWF2
ENSP00000290130	PR_Q9NYP9
ENSP00000404570	PR_Q9UKX3
ENSP00000250237	PR_Q9BXR0
ENSP00000330945	PR_Q9BVK6
ENSP00000373149	PR_O76000
ENSP00000449255	PR_Q08345
ENSP00000495316	PR_Q8NFM4
ENSP00000332887	PR_Q9UDW1
ENSP00000478771	PR_P0CG47
ENSP00000469958	PR_Q68DY1
ENSP00000470123	PR_Q8TBC5
ENSP00000386837	PR_Q7L1Q6
ENSP00000385564	PR_P02745
ENSP00000367151	PR_O14917
ENSP00000267984	PR_Q9H1K6
ENSP00000354483	PR_Q5VZP5
ENSP00000402278	PR_P06681
ENSP00000454134	PR_P12644
ENSP00000400922	PR_Q8NBJ7
ENSP00000364940	PR_O00299
ENSP00000264380	PR_Q9Y2I7
ENSP00000367819	PR_Q7L5A3
ENSP00000365401	PR_O60826
ENSP00000432487	PR_Q96ER3
ENSP00000360103	PR_Q9Y397
ENSP00000477671	PR_A0A5B0
ENSP00000295658	PR_Q96HH4
ENSP00000369546	PR_Q8N567
ENSP00000384748	PR_Q9BSE2
ENSP00000256257	PR_Q9H9V4
ENSP00000348107	PR_Q13901
ENSP00000348503	PR_Q96FN9
ENSP00000260950	PR_O14793
ENSP00000450518	PR_Q92784
ENSP00000305071	PR_O14593
ENSP00000497775	PR_Q8WU43
ENSP00000262457	PR_Q9Y283
ENSP00000487017	PR_Q13202
ENSP00000372868	PR_Q08345
ENSP00000346283	PR_Q6UXD1
ENSP00000350940	PR_Q9NZC9
ENSP00000267082	PR_P26010
ENSP00000484380	PR_Q96AB6
ENSP00000354660	PR_Q9UBF1
ENSP00000362712	PR_P40222
ENSP00000365313	PR_Q92915
ENSP00000322408	PR_Q9BY66
ENSP00000320413	PR_Q9ULC3
ENSP00000432266	PR_Q9Y548
ENSP00000416249	PR_P0CL81
ENSP00000488603	PR_A0A0J9YXY3
ENSP00000363880	PR_Q13617
ENSP00000307369	PR_Q5VZ18
ENSP00000367432	PR_Q9UKB5
ENSP00000282587	PR_Q6NXT4
ENSP00000397765	PR_Q99943
ENSP00000362758	PR_Q9HCK0
ENSP00000336693	PR_Q7Z5M8
ENSP00000498258	PR_Q9Y2T6
ENSP00000343957	PR_P48551
ENSP00000386752	PR_Q8TCC3
ENSP00000227451	PR_Q9Y2E6
ENSP00000368982	PR_Q9BVA0
ENSP00000352252	PR_P68431
ENSP00000483148	PR_Q6P1K8
ENSP00000359115	PR_Q9BVV2
ENSP00000378414	PR_Q96GM5
ENSP00000357348	PR_Q9UBP5
ENSP00000344729	PR_Q6J272
ENSP00000263780	PR_Q9UQN3
ENSP00000230419	PR_Q13308
ENSP00000372969	PR_O14931
ENSP00000386156	PR_Q9BRP8
ENSP00000442266	PR_P26196
ENSP00000427900	PR_Q9NQT8
ENSP00000407736	PR_Q9H095
ENSP00000216214	PR_Q9NWS6
ENSP00000359939	PR_Q9Y3B2
ENSP00000295190	PR_Q7RTX9
ENSP00000275169	PR_P46095
ENSP00000381104	PR_Q92544
ENSP00000466989	PR_Q9BTN0
ENSP00000368758	PR_Q4LDR2
ENSP00000291041	PR_P11801
ENSP00000413469	PR_P67870
ENSP00000340524	PR_Q8TF20
ENSP00000370930	PR_Q16540
ENSP00000333212	PR_Q7Z449
ENSP00000351632	PR_Q96BQ1
ENSP00000404049	PR_Q9UL01
ENSP00000299421	PR_Q13418
ENSP00000356977	PR_O60512
ENSP00000375849	PR_Q8NHW6
ENSP00000295878	PR_Q8NCU4
ENSP00000243924	PR_P19957
ENSP00000457723	PR_Q15287
ENSP00000271751	PR_O95259
ENSP00000287322	PR_O95429
ENSP00000263384	PR_Q9Y421
ENSP00000456019	PR_Q9Y6N5
ENSP00000345107	PR_Q9BSF0
ENSP00000420821	PR_P62945
ENSP00000307697	PR_Q99424
ENSP00000298642	PR_Q8NGD2
ENSP00000216225	PR_P62877
ENSP00000331556	PR_P35663
ENSP00000314036	PR_Q9NRZ5
ENSP00000278379	PR_P43004
ENSP00000403672	PR_A0A087WSY6
ENSP00000356981	PR_Q9UK80
ENSP00000309812	PR_P51504
ENSP00000328738	PR_P20783
ENSP00000379458	PR_Q9NXT0
ENSP00000348535	PR_Q9NY26
ENSP00000489315	PR_Q9Y6M0
ENSP00000500492	PR_P51164
ENSP00000386317	PR_Q02325
ENSP00000342895	PR_P56181
ENSP00000315173	PR_P51814
ENSP00000488648	PR_Q6IQ20
ENSP00000249700	PR_Q9NZR1
ENSP00000249647	PR_O00161
ENSP00000301263	PR_Q14210
ENSP00000280377	PR_Q9Y4E8
ENSP00000493523	PR_O95072
ENSP00000437616	PR_Q8N823
ENSP00000470747	PR_Q9HBJ7
ENSP00000258424	PR_P10606
ENSP00000309142	PR_Q6L8Q7
ENSP00000394095	PR_Q9NRP7
ENSP00000262461	PR_P55011
ENSP00000477648	PR_P0DP58
ENSP00000265563	PR_P13861
ENSP00000493436	PR_Q9Y4A9
ENSP00000265381	PR_Q02410
ENSP00000428895	PR_P09669
